mode,category,faithfulness,answer_relevancy,context_precision,context_recall
enriched,ambiental,1.0,0.0,1.0,1.0
enriched,financiero,0.875,0.141,0.359,0.073
enriched,financiero_narrativa,0.818,0.858,0.292,0.2
enriched,gobernanza,0.866,0.797,0.337,0.531
enriched,riesgo,0.839,0.477,0.431,0.194
enriched,social,0.583,0.961,0.792,0.75
enriched,sostenibilidad,1.0,0.0,0.0,0.0
simple,ambiental,1.0,0.0,1.0,1.0
simple,financiero,0.811,0.283,0.458,0.118
simple,financiero_narrativa,0.857,0.921,0.25,0.2
simple,gobernanza,0.948,0.815,0.39,0.562
simple,riesgo,0.845,0.471,0.447,0.194
simple,social,1.0,0.931,1.0,0.75
simple,sostenibilidad,0.75,0.0,0.5,0.0
