mode,category,faithfulness,answer_relevancy,context_precision,context_recall
enriched,ambiental,1.0,0.0,1.0,1.0
enriched,financiero,0.796,0.723,0.517,0.548
enriched,financiero_narrativa,0.917,0.935,0.48,0.8
enriched,gobernanza,1.0,0.811,0.552,0.819
enriched,riesgo,0.855,0.896,0.609,0.736
enriched,social,1.0,0.931,0.742,0.75
enriched,sostenibilidad,1.0,0.0,0.0,0.0
simple,ambiental,1.0,0.0,1.0,1.0
simple,financiero,0.742,0.944,0.697,0.721
simple,financiero_narrativa,1.0,0.905,0.48,0.7
simple,gobernanza,1.0,0.918,0.745,0.944
simple,riesgo,0.941,0.936,0.64,0.736
simple,social,1.0,0.954,0.821,0.75
simple,sostenibilidad,1.0,0.922,0.944,0.9
